Task Type,Feature Set,Num Features,Model,Accuracy,Train Time (s),Prediction Time (s),F1-Score (Binary),AUC-ROC (Binary),Specificity (Binary),F1-Score (Macro MC),AUC-ROC (Macro OvR MC)
multiclass,rf_top_15_features,15,Decision Tree,0.9663105024994669,1.108,0.008,,,,0.9368003435796084,0.9796067883237918
multiclass,rf_top_15_features,15,Random Forest,0.9682769077684854,6.376,0.108,,,,0.9407940362089817,0.9952108260411892
multiclass,rf_top_15_features,15,Naive Bayes,0.26352199767822027,0.131,0.051,,,,0.16236299056933626,0.765210721738137
multiclass,rf_top_15_features,15,ANN (MLP),0.8649103271814068,34.016,0.028,,,,0.8067046945074049,0.9809174619920554
multiclass,rf_top_15_features,15,XGBoost,0.9704565377052288,7.199,0.065,,,,0.9410787383634792,0.9986788444408891
multiclass,rf_top_15_features,15,Gradient Boosting,0.9628515245563742,310.247,0.44,,,,0.9219284233387194,0.9975268005876258
multiclass,rf_top_20_features,20,Logistic Regression,0.6938567604065483,297.621,0.007,,,,0.6088951197318457,0.9533553234258832
multiclass,rf_top_20_features,20,KNN,0.974081357056552,0.047,8.459,,,,0.9439022763370455,0.9880706568158093
multiclass,rf_top_20_features,20,Decision Tree,0.9742471984647824,1.163,0.009,,,,0.942462581310916,0.9790702657424607
multiclass,rf_top_20_features,20,Random Forest,0.9762136037338008,6.203,0.097,,,,0.9477364540371012,0.9955396424059249
multiclass,rf_top_20_features,20,Naive Bayes,0.381885379895283,0.14,0.06,,,,0.2744073618859254,0.824367682415099
multiclass,rf_top_20_features,20,ANN (MLP),0.9124594280840579,123.931,0.038,,,,0.8709243398081042,0.9903219668848123
multiclass,rf_top_20_features,20,XGBoost,0.9787959913762467,8.685,0.067,,,,0.9508578800178441,0.9994013849390326
multiclass,rf_top_20_features,20,Gradient Boosting,0.9709303703001729,341.787,0.428,,,,0.9318770419547627,0.9985870094494856
multiclass,spearman_top_10_features,10,Logistic Regression,0.46544575801369376,17.055,0.005,,,,0.3043815318263656,0.8757320313812512
multiclass,spearman_top_10_features,10,KNN,0.6621099765452866,0.685,28.288,,,,0.6170082051408703,0.8824229505221748
multiclass,spearman_top_10_features,10,Decision Tree,0.6924352626217157,0.223,0.007,,,,0.6513281260591889,0.940796960374576
multiclass,spearman_top_10_features,10,Random Forest,0.6928617119571655,3.689,0.106,,,,0.6547443908321235,0.9528560867393999
multiclass,spearman_top_10_features,10,Naive Bayes,0.3633111421734701,0.093,0.033,,,,0.21867749768057312,0.7848366764955459
multiclass,spearman_top_10_features,10,ANN (MLP),0.6117652633324646,134.941,0.04,,,,0.5425326458095258,0.9346999735884005
multiclass,spearman_top_10_features,10,XGBoost,0.6816318794569879,6.297,0.063,,,,0.6324825142257613,0.9546118302449365
multiclass,spearman_top_10_features,10,Gradient Boosting,0.6803525314506385,128.049,0.398,,,,0.629116986997695,0.9529648448553454
multiclass,spearman_top_15_features,15,Logistic Regression,0.5080433082991779,44.162,0.006,,,,0.38205526508587423,0.9117967438258084
multiclass,spearman_top_15_features,15,KNN,0.637257456940463,1.051,34.048,,,,0.5643403640258179,0.9091780586895
multiclass,spearman_top_15_features,15,Decision Tree,0.6963206899002582,0.275,0.007,,,,0.6583487426481129,0.9450200765057447
multiclass,spearman_top_15_features,15,Random Forest,0.6966523727167192,3.98,0.085,,,,0.6600093405702794,0.9545606212635752
multiclass,spearman_top_15_features,15,Naive Bayes,0.38269089530668815,0.13,0.048,,,,0.26264327445943747,0.8207087077128481
multiclass,spearman_top_15_features,15,ANN (MLP),0.631073941576441,149.19,0.043,,,,0.5606184506158126,0.9412213467288726
multiclass,spearman_top_15_features,15,XGBoost,0.6884550688241844,6.751,0.071,,,,0.6485254507878135,0.9563476640309518
multiclass,spearman_top_15_features,15,Gradient Boosting,0.6846880996943779,153.65,0.385,,,,0.6375725618228321,0.9540236278334433
multiclass,spearman_top_20_features,20,Logistic Regression,0.6223554218294677,71.414,0.007,,,,0.5438929068489257,0.9368993252903939
multiclass,spearman_top_20_features,20,KNN,0.722997464995617,0.051,8.498,,,,0.689639884042902,0.9136387617929665
multiclass,spearman_top_20_features,20,Decision Tree,0.7502902224644034,0.355,0.008,,,,0.7194021949971062,0.9548526801253407
multiclass,spearman_top_20_features,20,Random Forest,0.7508588215783364,4.639,0.086,,,,0.7217457673734824,0.9640085028596829
multiclass,spearman_top_20_features,20,Naive Bayes,0.4119974413039873,0.154,0.062,,,,0.2818471470237992,0.8686554843165997
